DANH SÁCH TÀI LIỆU SỐ - THƯ VIỆN QNU;;;;;;;;;;;;;
STT;Tiêu đề;Tác giả;Tác giả phụ;Năm xuất bản;Nhà xuất bản;Chủ đề;Chuyên ngành;Học phần;Loại tài liệu;Kiểu tài liệu;Ngôn ngữ;Link URL;Ghi chú
80;Võ cổ truyền Việt Nam (tập 1, 2);Lê Kim Hòa;;2011;NXB Trẻ;Giáo dục thể chất;;;;;;https://lib.qnu.edu.vn/TraCuuTaiLieuSo2XemChiTiet.aspx?id=45;KHÔNG CÓ FILE
81;Chính phủ điện tử;TS. Nguyễn Đăng Hậu, TS. Nguyễn Hoài Anh, ThS. Ao Thu Hoài;;2010;Thông tin và truyền thông;Quản lý nhà nước;;;;;;https://lib.qnu.edu.vn/TraCuuTaiLieuSo2XemChiTiet.aspx?id=46;KHÔNG CÓ FILE
82;Chính phủ điện tử;TS. Nguyễn Đăng Hậu, TS. Nguyễn Hoài Anh, ThS. Ao Thu Hoài;;2010;Thông tin và truyền thông;Quản lý nhà nước;;;;;;https://lib.qnu.edu.vn/TraCuuTaiLieuSo2XemChiTiet.aspx?id=46;KHÔNG CÓ FILE
83;Giáo trình Hành chính so sánh;PGS.TS. Đặng Khắc Ánh (chủ biên);;2017;Nxb. Bách khoa Hà Nội;Quản lý nhà nước;;;;;;https://lib.qnu.edu.vn/TraCuuTaiLieuSo2XemChiTiet.aspx?id=47;KHÔNG CÓ FILE
84;Giáo trình Hành chính so sánh;PGS.TS. Đặng Khắc Ánh (chủ biên);;2017;Nxb. Bách khoa Hà Nội;Quản lý nhà nước;;;;;;https://lib.qnu.edu.vn/TraCuuTaiLieuSo2XemChiTiet.aspx?id=47;KHÔNG CÓ FILE
85;Giáo trình Kinh tế học đại cương;Trần Đăng Thịnh, Võ Kiều Phước, Huỳnh Thị Cẩm Tú;;2009;Nxb Đại học Quốc Gia Tp Hồ Chí Minh;Quản lý nhà nước;;;;;;https://lib.qnu.edu.vn/TraCuuTaiLieuSo2XemChiTiet.aspx?id=48;KHÔNG CÓ FILE
86;Giáo trình Kinh tế học đại cương;Trần Đăng Thịnh, Võ Kiều Phước, Huỳnh Thị Cẩm Tú;;2009;Nxb Đại học Quốc Gia Tp Hồ Chí Minh;Quản lý nhà nước;;;;;;https://lib.qnu.edu.vn/TraCuuTaiLieuSo2XemChiTiet.aspx?id=48;KHÔNG CÓ FILE
87;Giáo trình logic học;Trường Đại học Luật Hà Nội;;2016;Nxb Công An Nhân dân;Quản lý nhà nước;;;;;;https://lib.qnu.edu.vn/TraCuuTaiLieuSo2XemChiTiet.aspx?id=49;KHÔNG CÓ FILE
88;Giáo trình logic học;Trường Đại học Luật Hà Nội;;2016;Nxb Công An Nhân dân;Quản lý nhà nước;;;;;;https://lib.qnu.edu.vn/TraCuuTaiLieuSo2XemChiTiet.aspx?id=49;KHÔNG CÓ FILE
89;Giáo trình Lý luận chung về Nhà nước và Pháp luật;PGS.TS. Nguyễn Văn Động (Chủ biên);;2017;NXB. Chính trị quốc gia sự thật;Quản lý nhà nước;;;;;;https://lib.qnu.edu.vn/TraCuuTaiLieuSo2XemChiTiet.aspx?id=50;KHÔNG CÓ FILE
90;Giáo trình Lý luận chung về Nhà nước và Pháp luật;PGS.TS. Nguyễn Văn Động (Chủ biên);;2017;NXB. Chính trị quốc gia sự thật;Quản lý nhà nước;;;;;;https://lib.qnu.edu.vn/TraCuuTaiLieuSo2XemChiTiet.aspx?id=50;KHÔNG CÓ FILE
91;Giáo trình Quản lý tài chính công;PGS.TS. Dương Đăng Chinh, TS. Phạm Văn Khoan;;2009;Học viện Tài Chính;Quản lý nhà nước;;;;;;https://lib.qnu.edu.vn/TraCuuTaiLieuSo2XemChiTiet.aspx?id=51;KHÔNG CÓ FILE
92;Giáo trình Quản lý tài chính công;PGS.TS. Dương Đăng Chinh, TS. Phạm Văn Khoan;;2009;Học viện Tài Chính;Quản lý nhà nước;;;;;;https://lib.qnu.edu.vn/TraCuuTaiLieuSo2XemChiTiet.aspx?id=51;KHÔNG CÓ FILE
